「Hi again, [player]!」	「[player]君、今日も来たのね！」	Hi again, [player]!	「やっほー、[player]君！」
「How can the two of you keep fighting when you know you're making your friend feel like this?」	「お前たちは友達がこんな風に感じていてもケンカをやめないつもりなのか？」	How can the two of you keep fighting when you know you're making your friend feel like this?	「お前たちは友達がこんな風に感じていても、ケンカをやめないつもりなのか？」
「[player]...」	「[player]……」	[player]...	「[player]……」
「Well... That's her problem! This isn't about her.」	「その……それはサヨリの問題でしょ！ そっちは関係ないじゃない」	Well... That's her problem! This isn't about her.	「その……それはサヨリの問題でしょ！関係ないじゃない」
「I-I agree...」	「そ、そうですよ……」	I-I agree...	「そ、そうですよ……」
「It's unfair for others to interject their own feelings into our conflict.」	「私たちの言い合いに他人の感情を持ち込むのはお門違いではありませんか」	It's unfair for others to interject their own feelings into our conflict.	「私たちの言い合いに他人の感情を持ち込むのは、お門違いではありませんか」
「Yeah, unless Sayori wants to tell Yuri what a stuck-up jerk she's being.」	「まあ、ユリは高慢ちきだってサヨリが教えたいのなら話は別だけど」	Yeah, unless Sayori wants to tell Yuri what a stuck-up jerk she's being.	「まあ、ユリは高慢ちきだってサヨリが言いたいのなら話は別だけど」
「She would never...!」	「サヨリちゃんはそんなこと絶対に……！」	She would never...!	「サヨリちゃんはそんなこと絶対に……！」
「It's your immaturity that's made her upset in the first place!」	「そもそもあなたの幼稚さがサヨリちゃんを煩わせているのでしょう！」	It's your immaturity that's made her upset in the first place!	「そもそもあなたの幼稚さがサヨリちゃんを煩わせているのでしょう！」
「<i>Excuse</i> me?」	「ちょっといい？」	<i>Excuse</i> me?	「<i>何ですって？</i>」
「Are you listening to yourself?」	「どういうことか分かってて言っているの？」	Are you listening to yourself?	「アンタそれ、どういうつもり？」
「This is exactly why...」	「そういう所がまさに……」	This is exactly why...	「まさに、そういうところなのよ……」
「Exactly why nobody likes--」	「誰もあんたを好きに――」	Exactly why nobody likes--	「誰もアンタを好きになんて――」
「<i>Stop!!</i>」	「やめて！！」	<i>Stop!!</i>	「<i>やめてっ！！</i>」
「--」	「――」	--	「――っ」
「Natsuki! Yuri!」	「ナツキちゃん！ ユリちゃん！」	Natsuki! Yuri!	「ナツキちゃん！ ユリちゃん！」
「You guys are my friends!」	「二人はわたしの友達なの！」	You guys are my friends!	「二人はわたしの友達なの！」
「I-I just want everyone to get along and be happy!」	「た、ただわたしはみんな仲良く楽しくなってほしいだけ！」	I-I just want everyone to get along and be happy!	「た、ただ、わたしはみんなに仲良く楽しくなってほしいだけ！」
「My friends are wonderful people...」	「わたしの友達は素敵な人たちで……」	My friends are wonderful people...	「わたしの友達は素敵な人たちで……」
「And I love them because of their differences!」	「みんなそれぞれ違う所があるから大好きなんだもん！」	And I love them because of their differences!	「みんなそれぞれ違うところがあるから大好きなんだもん！」
「Natsuki's poems...」	「ナツキちゃんの詩はね……」	Natsuki's poems...	「ナツキちゃんの詩はね……」
「They're amazing because they give you so many feelings with just a few words!」	「ほんの少しの言葉で色んな気持ちを表現しちゃうからすごいの！」	They're amazing because they give you so many feelings with just a few words!	「ほんの少しの言葉で、いろんな気持ちを表現しちゃうからすごいの！」
「And Yuri's poems are amazing because they paint beautiful pictures in your head!」	「そしてユリちゃんの詩は頭の中にキレイな絵を描けちゃうからすごいの！」	And Yuri's poems are amazing because they paint beautiful pictures in your head!	「そしてユリちゃんの詩は、頭の中にキレイな絵を描けちゃうからすごいの！」
「Everyone's so talented...」	「みんなすごい才能の持ち主なのに……」	Everyone's so talented...	「みんなすごい才能の持ち主なのに……」
「...So why are we fighting...?」	「なんでケンカしちゃうの……？」	...So why are we fighting...?	「何でケンカしちゃうの……？」
「Be-Because...」	「な、なんでって……」	Be-Because...	「な、何でって……」
「Well...」	「ええっと……」	Well...	「今度は……」
「Also!」	「とにかく！」	Also!	「とにかく！」
「Natsuki's cute and there's nothing wrong with that!」	「ナツキちゃんはかわいいから何も問題ないよ！」	Natsuki's cute and there's nothing wrong with that!	「ナツキちゃんはかわいいの、そこに何の問題もないよ！」
「And Yuri's boobs are the same as they always were!」	「あとユリちゃんの胸はいつも通りだよ！」	And Yuri's boobs are the same as they always were!	「あとユリちゃんの胸はいつも通りだよ！」
「Big and beautiful!!」	「大きくてキレイだもん！」	Big and beautiful!!	「大きくてキレイだもん！」
「...」	「……」	...	「……」
「...」	「……」	...	「……」
「Sayori...」	「サヨリ……」	Sayori...	「……サヨリ……」
Sayori stands triumphantly.	サヨリは誇らしげに立っている。	Sayori stands triumphantly.	サヨリは誇らしげに立っている。
Monika stands behind her with a bewildered expression.	モニカはその後ろで、混乱した様子で立っている。	Monika stands behind her with a bewildered expression.	その後ろで、モニカが混乱した様子で立ち尽くしている。
「I'll...make some tea...」	「お茶を……淹れてきます……」	I'll...make some tea...	「お茶を……淹れてきます……」
Yuri rushes off.	ユリは飛び出す。	Yuri rushes off.	ユリは飛び出す。
Natsuki sits down with a blank expression on her face, staring at nothing.	ナツキは放心した表情で席に着き、虚空を眺めている。	Natsuki sits down with a blank expression on her face, staring at nothing.	ナツキは放心した表情で席に着き、虚空を眺めている。
「So, this is why Sayori is Vice President...」	「まあ、サヨリが副部長なのも納得だな……」	So, this is why Sayori is Vice President...	「こりゃ、サヨリが副部長なのも納得だな……」
I whisper to Monika.	俺はモニカにささやく。	I whisper to Monika.	俺はモニカにささやく。
She nods in return.	彼女も頷く。	She nods in return.	彼女もうなずく。
「To be honest...」	「正直ね……」	To be honest...	「正直ね……」
「I might come off as a good leader, and I can organize things...」	「私は良い部長のように見せたり、活動を計画したりはできるんだけど……」	I might come off as a good leader, and I can organize things...	「私は良い部長のように振る舞ったり、活動を計画したりはできるんだけど……」
「But I'm not very good with people...」	「人間関係を良くするのはあまり得意じゃないの……」	But I'm not very good with people...	「人間関係を良くするのはあまり得意じゃないの……」
「I couldn't even bring myself to interject.」	「仲介役もできなかったしね」	I couldn't even bring myself to interject.	「仲介役もできなかったしね」
「As President, that's kind of embarrassing of me.」	「部長として、なんか情けないわ」	As President, that's kind of embarrassing of me.	「部長として、なんか情けないわ」
「Ahaha...」	「あはは……」	Ahaha...	「そうだな……」
「Nah...」	「いやあ……」	Nah...	「いや……」
「It's not like I can blame you.」	「そりゃあしょうがないさ」	It's not like I can blame you.	「しょうがないさ」
「I wasn't able to say anything, either.」	「俺だって何も言えなかったんだ」	I wasn't able to say anything, either.	「俺だって何も言えなかったんだ」
「Well...」	「まあその……」	Well...	「その、つまり……」
「I guess that just means Sayori is amazing in her own ways, isn't she?」	「サヨリにも彼女なりのすごい部分があるってことよね？」	I guess that just means Sayori is amazing in her own ways, isn't she?	「サヨリには、彼女なりのすごい部分があるってことよね？」
「You could say that.」	「そうなのかもな」	You could say that.	「そうなんだよ」
「She might be an airhead, but sometimes it's weirdly suspicious that she knows exactly what she's doing.」	「頭空っぽに見えるけど、時々不自然なくらい行動に抜け目がなかったりするんだ」	She might be an airhead, but sometimes it's weirdly suspicious that she knows exactly what she's doing.	「頭空っぽに見えるけど、時々不自然なくらい行動に抜け目がなかったりするんだ」
「I see~」	「そうなのね～」	I see~	「そうなのね～」
「Take good care of her, okay?」	「サヨリのこと、よろしくね？」	Take good care of her, okay?	「サヨリのこと、よろしくね？」
「I would hate to see her get herself hurt.」	「あの子が傷つくところ見たくないからね」	I would hate to see her get herself hurt.	「あの子が傷つくところは見たくないわ」
「That makes two of us...」	「俺もそうさ……」	That makes two of us...	「俺もそうさ……」
「You can count on me.」	「俺に任せとけって」	You can count on me.	「任せとけって」
Monika smiles sweetly at me, causing my stomach to knot.	モニカは優しく微笑むが、何かが俺の中にわだかまりを残す。	Monika smiles sweetly at me, causing my stomach to knot.	モニカは優しく微笑むが、何かが俺の中にわだかまりを残す。
Such a genuine person really does make a good President, regardless of what she says.	彼女がどう言おうとも、部長にはこんな誠実な人が望ましいのだ。	Such a genuine person really does make a good President, regardless of what she says.	彼女がどう言おうとも、部長にはこんな誠実な人間が望ましいのだ。
If only I could get the chance to talk to her a little more...	俺にももう少し彼女と話す機会さえあれば……	If only I could get the chance to talk to her a little more...	俺にももう少し彼女と話す機会さえあれば……
